10a,856887.65
10b,767146.17
10c,1106288.26
11a,133117.6
11b,126914.16
11c,135270.42
11d,135248.37
12a,429639.29
12b,431741.67
12c,468431.11
13a,431532.17
13b,431550.72
13c,431550.72
14a,614064.86
14b,610951.15
15a,547166.45
15b,551869.33
15c,576601.89
15d,502730.36
16a,913674.06
16b,918023.83
16c,915238.23
16d,914772.04
17a,890409.89
17b,891339.32
17c,891339.32
17d,891339.31
17e,890409.39
17f,891416.62
18a,1098251.56
18c,1297753.46
19a,1276654.76
19b,1194974.89
19c,1274050.55
19d,1240307.98
1a,90162.5
1b,80748.27
1c,83980.16
1d,80748.18
21a,595967.07
21b,483490.43
21c,621210.81
22a,561008.87
23b,528004.79
24a,1352347.36
24b,1357651.56
25b,1315773.19
26a,864945.0
26b,863393.33
26c,865949.45
27a,501492.76
27b,524024.85
27c,379469.88
28a,677952.61
28b,560857.13
28c,678137.14
29a,1404518.38
29b,1367133.4
29c,1445948.54
2a,138943.48
2b,138940.96
2c,138940.46
2d,138955.3
30a,1310430.31
30b,1311061.17
30c,1386302.53
31b,1368503.18
32a,85108.78
32b,85108.78
33a,164262.04
33b,164436.9
33c,166739.28
3a,545966.19
3b,433676.29
3c,585552.22
4a,110866.38
4b,109733.59
4c,111828.6
5a,519677.48
5b,415551.56
5c,560708.99
6a,835184.25
6b,836216.75
6c,835094.8
6d,838751.05
6e,835411.21
6f,838778.48
7a,871572.43
7b,871561.18
7c,868618.37
8a,799956.11
8b,808729.95
8c,1061147.73
8d,1061147.73
9a,885163.92
9b,799659.41
9c,880819.26
9d,888901.15
